OperatingPoint,measurementType,sysType,jetFlavor,cvlMin,cvlMax,cvbMin,cvbMax,formula
shape,iterativefit,central,0,0.0,0.02,0.0,0.02,1.813939929
shape,iterativefit,central,0,0.0,0.02,0.02,0.04,1.813939929
shape,iterativefit,central,0,0.0,0.02,0.04,0.06,1.813939929
shape,iterativefit,central,0,0.0,0.02,0.06,0.08,1.813939929
shape,iterativefit,central,0,0.0,0.02,0.08,0.1,1.5419106483
shape,iterativefit,central,0,0.0,0.02,0.1,0.12,1.5419106483
shape,iterativefit,central,0,0.0,0.02,0.12,0.14,1.5419106483
shape,iterativefit,central,0,0.0,0.02,0.14,0.16,1.5419106483
shape,iterativefit,central,0,0.0,0.02,0.16,0.18,1.5419106483
shape,iterativefit,central,0,0.0,0.02,0.18,0.2,1.5419106483
shape,iterativefit,central,0,0.0,0.02,0.2,0.22,1.6757971048
shape,iterativefit,central,0,0.0,0.02,0.22,0.24,1.6757971048
shape,iterativefit,central,0,0.0,0.02,0.24,0.26,1.6757971048
shape,iterativefit,central,0,0.0,0.02,0.26,0.28,1.6757971048
shape,iterativefit,central,0,0.0,0.02,0.28,0.3,1.6757971048
shape,iterativefit,central,0,0.0,0.02,0.3,0.32,1.6757971048
shape,iterativefit,central,0,0.0,0.02,0.32,0.34,1.3583030701
shape,iterativefit,central,0,0.0,0.02,0.34,0.36,1.3583030701
shape,iterativefit,central,0,0.0,0.02,0.36,0.38,1.3583030701
shape,iterativefit,central,0,0.0,0.02,0.38,0.4,1.3583030701
shape,iterativefit,central,0,0.0,0.02,0.4,0.42,1.3583030701
shape,iterativefit,central,0,0.0,0.02,0.42,0.44,1.3170571327
shape,iterativefit,central,0,0.0,0.02,0.44,0.46,1.3170571327
shape,iterativefit,central,0,0.0,0.02,0.46,0.48,1.3170571327
shape,iterativefit,central,0,0.0,0.02,0.48,0.5,1.3170571327
shape,iterativefit,central,0,0.0,0.02,0.5,0.52,1.3170571327
shape,iterativefit,central,0,0.0,0.02,0.52,0.54,1.1494889259
shape,iterativefit,central,0,0.0,0.02,0.54,0.56,1.1494889259
