OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,wcharm,central,4,0.0,2.5,25.0,30.0,-1.0,1.0,0.985393
L,wcharm,central,4,0.0,2.5,30.0,50.0,-1.0,1.0,0.992544
L,wcharm,central,4,0.0,2.5,50.0,70.0,-1.0,1.0,1.005788
L,wcharm,central,4,0.0,2.5,70.0,100.0,-1.0,1.0,1.003876
L,wcharm,central,4,0.0,2.5,100.0,130.0,-1.0,1.0,1.094157
L,wcharm,central,4,0.0,2.5,130.0,160.0,-1.0,1.0,0.944415
L,wcharm,central,4,0.0,2.5,160.0,250.0,-1.0,1.0,1.075731
L,wcharm,down,4,0.0,2.5,25.0,30.0,-1.0,1.0,0.956252
L,wcharm,down,4,0.0,2.5,30.0,50.0,-1.0,1.0,0.9757009999999999
L,wcharm,down,4,0.0,2.5,50.0,70.0,-1.0,1.0,0.978887
L,wcharm,down,4,0.0,2.5,70.0,100.0,-1.0,1.0,0.96248
L,wcharm,down,4,0.0,2.5,100.0,130.0,-1.0,1.0,1.000756
L,wcharm,down,4,0.0,2.5,130.0,160.0,-1.0,1.0,0.798405
L,wcharm,down,4,0.0,2.5,160.0,250.0,-1.0,1.0,0.811727
L,wcharm,up,4,0.0,2.5,25.0,30.0,-1.0,1.0,1.014534
L,wcharm,up,4,0.0,2.5,30.0,50.0,-1.0,1.0,1.009387
L,wcharm,up,4,0.0,2.5,50.0,70.0,-1.0,1.0,1.032689
L,wcharm,up,4,0.0,2.5,70.0,100.0,-1.0,1.0,1.045272
L,wcharm,up,4,0.0,2.5,100.0,130.0,-1.0,1.0,1.1875580000000001
L,wcharm,up,4,0.0,2.5,130.0,160.0,-1.0,1.0,1.090425
L,wcharm,up,4,0.0,2.5,160.0,250.0,-1.0,1.0,1.3397350000000001
M,wcharm,central,4,0.0,2.5,25.0,30.0,-1.0,1.0,0.938213
M,wcharm,central,4,0.0,2.5,30.0,50.0,-1.0,1.0,0.965739
M,wcharm,central,4,0.0,2.5,50.0,70.0,-1.0,1.0,0.989107
M,wcharm,central,4,0.0,2.5,70.0,100.0,-1.0,1.0,0.975234
M,wcharm,central,4,0.0,2.5,100.0,130.0,-1.0,1.0,1.10053
M,wcharm,central,4,0.0,2.5,130.0,160.0,-1.0,1.0,0.961651
M,wcharm,central,4,0.0,2.5,160.0,250.0,-1.0,1.0,1.15345
M,wcharm,down,4,0.0,2.5,25.0,30.0,-1.0,1.0,0.902324
M,wcharm,down,4,0.0,2.5,30.0,50.0,-1.0,1.0,0.942234
M,wcharm,down,4,0.0,2.5,50.0,70.0,-1.0,1.0,0.954773
M,wcharm,down,4,0.0,2.5,70.0,100.0,-1.0,1.0,0.9302560000000001
M,wcharm,down,4,0.0,2.5,100.0,130.0,-1.0,1.0,0.995976
M,wcharm,down,4,0.0,2.5,130.0,160.0,-1.0,1.0,0.798824
M,wcharm,down,4,0.0,2.5,160.0,250.0,-1.0,1.0,0.865024
M,wcharm,up,4,0.0,2.5,25.0,30.0,-1.0,1.0,0.9741019999999999
M,wcharm,up,4,0.0,2.5,30.0,50.0,-1.0,1.0,0.989244
M,wcharm,up,4,0.0,2.5,50.0,70.0,-1.0,1.0,1.023441
M,wcharm,up,4,0.0,2.5,70.0,100.0,-1.0,1.0,1.0202120000000001
M,wcharm,up,4,0.0,2.5,100.0,130.0,-1.0,1.0,1.205084
M,wcharm,up,4,0.0,2.5,130.0,160.0,-1.0,1.0,1.124478
M,wcharm,up,4,0.0,2.5,160.0,250.0,-1.0,1.0,1.4418760000000002
T,wcharm,central,4,0.0,2.5,25.0,30.0,-1.0,1.0,0.928973
T,wcharm,central,4,0.0,2.5,30.0,50.0,-1.0,1.0,0.966262
T,wcharm,central,4,0.0,2.5,50.0,70.0,-1.0,1.0,0.957484
T,wcharm,central,4,0.0,2.5,70.0,100.0,-1.0,1.0,0.925813
T,wcharm,central,4,0.0,2.5,100.0,130.0,-1.0,1.0,0.991358
T,wcharm,central,4,0.0,2.5,130.0,160.0,-1.0,1.0,0.995976
