OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,wcharm,central,4,0.0,2.5,25.0,30.0,-1.0,1.0,0.970984
L,wcharm,central,4,0.0,2.5,30.0,50.0,-1.0,1.0,0.995503
L,wcharm,central,4,0.0,2.5,50.0,70.0,-1.0,1.0,1.013989
L,wcharm,central,4,0.0,2.5,70.0,100.0,-1.0,1.0,1.002939
L,wcharm,central,4,0.0,2.5,100.0,130.0,-1.0,1.0,1.064069
L,wcharm,central,4,0.0,2.5,130.0,160.0,-1.0,1.0,1.077782
L,wcharm,central,4,0.0,2.5,160.0,250.0,-1.0,1.0,1.052473
L,wcharm,down,4,0.0,2.5,25.0,30.0,-1.0,1.0,0.942842
L,wcharm,down,4,0.0,2.5,30.0,50.0,-1.0,1.0,0.9787710000000001
L,wcharm,down,4,0.0,2.5,50.0,70.0,-1.0,1.0,0.987197
L,wcharm,down,4,0.0,2.5,70.0,100.0,-1.0,1.0,0.9617060000000001
L,wcharm,down,4,0.0,2.5,100.0,130.0,-1.0,1.0,0.9740989999999999
L,wcharm,down,4,0.0,2.5,130.0,160.0,-1.0,1.0,0.9202680000000001
L,wcharm,down,4,0.0,2.5,160.0,250.0,-1.0,1.0,0.802473
L,wcharm,up,4,0.0,2.5,25.0,30.0,-1.0,1.0,0.999126
L,wcharm,up,4,0.0,2.5,30.0,50.0,-1.0,1.0,1.012235
L,wcharm,up,4,0.0,2.5,50.0,70.0,-1.0,1.0,1.040781
L,wcharm,up,4,0.0,2.5,70.0,100.0,-1.0,1.0,1.044172
L,wcharm,up,4,0.0,2.5,100.0,130.0,-1.0,1.0,1.154039
L,wcharm,up,4,0.0,2.5,130.0,160.0,-1.0,1.0,1.235296
L,wcharm,up,4,0.0,2.5,160.0,250.0,-1.0,1.0,1.302473
M,wcharm,central,4,0.0,2.5,25.0,30.0,-1.0,1.0,0.961196
M,wcharm,central,4,0.0,2.5,30.0,50.0,-1.0,1.0,0.976439
M,wcharm,central,4,0.0,2.5,50.0,70.0,-1.0,1.0,0.989626
M,wcharm,central,4,0.0,2.5,70.0,100.0,-1.0,1.0,0.978722
M,wcharm,central,4,0.0,2.5,100.0,130.0,-1.0,1.0,1.003556
M,wcharm,central,4,0.0,2.5,130.0,160.0,-1.0,1.0,1.027868
M,wcharm,central,4,0.0,2.5,160.0,250.0,-1.0,1.0,1.076389
M,wcharm,down,4,0.0,2.5,25.0,30.0,-1.0,1.0,0.9192220000000001
M,wcharm,down,4,0.0,2.5,30.0,50.0,-1.0,1.0,0.9502269999999999
M,wcharm,down,4,0.0,2.5,50.0,70.0,-1.0,1.0,0.955657
M,wcharm,down,4,0.0,2.5,70.0,100.0,-1.0,1.0,0.932419
M,wcharm,down,4,0.0,2.5,100.0,130.0,-1.0,1.0,0.9106969999999999
M,wcharm,down,4,0.0,2.5,130.0,160.0,-1.0,1.0,0.854518
M,wcharm,down,4,0.0,2.5,160.0,250.0,-1.0,1.0,0.813574
M,wcharm,up,4,0.0,2.5,25.0,30.0,-1.0,1.0,1.0031700000000001
M,wcharm,up,4,0.0,2.5,30.0,50.0,-1.0,1.0,1.002651
M,wcharm,up,4,0.0,2.5,50.0,70.0,-1.0,1.0,1.023595
M,wcharm,up,4,0.0,2.5,70.0,100.0,-1.0,1.0,1.025025
M,wcharm,up,4,0.0,2.5,100.0,130.0,-1.0,1.0,1.096415
M,wcharm,up,4,0.0,2.5,130.0,160.0,-1.0,1.0,1.201218
M,wcharm,up,4,0.0,2.5,160.0,250.0,-1.0,1.0,1.339204
T,wcharm,central,4,0.0,2.5,25.0,30.0,-1.0,1.0,0.922056
T,wcharm,central,4,0.0,2.5,30.0,50.0,-1.0,1.0,0.94775
T,wcharm,central,4,0.0,2.5,50.0,70.0,-1.0,1.0,0.981178
T,wcharm,central,4,0.0,2.5,70.0,100.0,-1.0,1.0,0.946742
T,wcharm,central,4,0.0,2.5,100.0,130.0,-1.0,1.0,0.981483
T,wcharm,central,4,0.0,2.5,130.0,160.0,-1.0,1.0,1.034465
T,wcharm,central,4,0.0,2.5,160.0,250.0,-1.0,1.0,0.897954
T,wcharm,down,4,0.0,2.5,25.0,30.0,-1.0,1.0,0.866489
T,wcharm,down,4,0.0,2.5,30.0,50.0,-1.0,1.0,0.915445
T,wcharm,down,4,0.0,2.5,50.0,70.0,-1.0,1.0,0.940067
T,wcharm,down,4,0.0,2.5,70.0,100.0,-1.0,1.0,0.8975059999999999
T,wcharm,down,4,0.0,2.5,100.0,130.0,-1.0,1.0,0.8789629999999999
T,wcharm,down,4,0.0,2.5,130.0,160.0,-1.0,1.0,0.836986
T,wcharm,down,4,0.0,2.5,160.0,250.0,-1.0,1.0,0.6537390000000001
T,wcharm,up,4,0.0,2.5,25.0,30.0,-1.0,1.0,0.977623
T,wcharm,up,4,0.0,2.5,30.0,50.0,-1.0,1.0,0.980055
T,wcharm,up,4,0.0,2.5,50.0,70.0,-1.0,1.0,1.022289
T,wcharm,up,4,0.0,2.5,70.0,100.0,-1.0,1.0,0.995978
T,wcharm,up,4,0.0,2.5,100.0,130.0,-1.0,1.0,1.084003
T,wcharm,up,4,0.0,2.5,130.0,160.0,-1.0,1.0,1.231944
T,wcharm,up,4,0.0,2.5,160.0,250.0,-1.0,1.0,1.142169
L,TnP,central,5,0.0,2.5,30.0,50.0,0.0,1.0,1.1509045439
L,TnP,down,5,0.0,2.5,30.0,50.0,0.0,1.0,1.0912690036
L,TnP,up,5,0.0,2.5,30.0,50.0,0.0,1.0,1.21054008419
L,TnP,central,5,0.0,2.5,50.0,70.0,0.0,1.0,1.16909588524
L,TnP,down,5,0.0,2.5,50.0,70.0,0.0,1.0,1.10446599246
L,TnP,up,5,0.0,2.5,50.0,70.0,0.0,1.0,1.23372577802
