OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,wcharm,central,4,0.0,2.5,25.0,30.0,-1.0,1.0,0.979978
L,wcharm,central,4,0.0,2.5,30.0,50.0,-1.0,1.0,1.009401
L,wcharm,central,4,0.0,2.5,50.0,70.0,-1.0,1.0,1.030171
L,wcharm,central,4,0.0,2.5,70.0,100.0,-1.0,1.0,1.034218
L,wcharm,central,4,0.0,2.5,100.0,130.0,-1.0,1.0,1.005487
L,wcharm,central,4,0.0,2.5,130.0,160.0,-1.0,1.0,0.965638
L,wcharm,central,4,0.0,2.5,160.0,250.0,-1.0,1.0,1.078709
L,wcharm,down,4,0.0,2.5,25.0,30.0,-1.0,1.0,0.95181
L,wcharm,down,4,0.0,2.5,30.0,50.0,-1.0,1.0,0.992182
L,wcharm,down,4,0.0,2.5,50.0,70.0,-1.0,1.0,1.001911
L,wcharm,down,4,0.0,2.5,70.0,100.0,-1.0,1.0,0.991376
L,wcharm,down,4,0.0,2.5,100.0,130.0,-1.0,1.0,0.922278
L,wcharm,down,4,0.0,2.5,130.0,160.0,-1.0,1.0,0.80324
L,wcharm,down,4,0.0,2.5,160.0,250.0,-1.0,1.0,0.803461
L,wcharm,up,4,0.0,2.5,25.0,30.0,-1.0,1.0,1.008146
L,wcharm,up,4,0.0,2.5,30.0,50.0,-1.0,1.0,1.02662
L,wcharm,up,4,0.0,2.5,50.0,70.0,-1.0,1.0,1.058431
L,wcharm,up,4,0.0,2.5,70.0,100.0,-1.0,1.0,1.0770600000000001
L,wcharm,up,4,0.0,2.5,100.0,130.0,-1.0,1.0,1.088696
L,wcharm,up,4,0.0,2.5,130.0,160.0,-1.0,1.0,1.128036
L,wcharm,up,4,0.0,2.5,160.0,250.0,-1.0,1.0,1.3539569999999999
M,wcharm,central,4,0.0,2.5,25.0,30.0,-1.0,1.0,1.000049
M,wcharm,central,4,0.0,2.5,30.0,50.0,-1.0,1.0,1.001356
M,wcharm,central,4,0.0,2.5,50.0,70.0,-1.0,1.0,1.050858
M,wcharm,central,4,0.0,2.5,70.0,100.0,-1.0,1.0,1.080369
M,wcharm,central,4,0.0,2.5,100.0,130.0,-1.0,1.0,1.003036
M,wcharm,central,4,0.0,2.5,130.0,160.0,-1.0,1.0,0.932686
M,wcharm,central,4,0.0,2.5,160.0,250.0,-1.0,1.0,1.160132
M,wcharm,down,4,0.0,2.5,25.0,30.0,-1.0,1.0,0.9632499999999999
M,wcharm,down,4,0.0,2.5,30.0,50.0,-1.0,1.0,0.9760489999999999
M,wcharm,down,4,0.0,2.5,50.0,70.0,-1.0,1.0,1.015959
M,wcharm,down,4,0.0,2.5,70.0,100.0,-1.0,1.0,1.0291979999999998
M,wcharm,down,4,0.0,2.5,100.0,130.0,-1.0,1.0,0.9118820000000001
M,wcharm,down,4,0.0,2.5,130.0,160.0,-1.0,1.0,0.76546
M,wcharm,down,4,0.0,2.5,160.0,250.0,-1.0,1.0,0.8433059999999999
M,wcharm,up,4,0.0,2.5,25.0,30.0,-1.0,1.0,1.036848
M,wcharm,up,4,0.0,2.5,30.0,50.0,-1.0,1.0,1.0266629999999999
M,wcharm,up,4,0.0,2.5,50.0,70.0,-1.0,1.0,1.085757
M,wcharm,up,4,0.0,2.5,70.0,100.0,-1.0,1.0,1.13154
M,wcharm,up,4,0.0,2.5,100.0,130.0,-1.0,1.0,1.09419
M,wcharm,up,4,0.0,2.5,130.0,160.0,-1.0,1.0,1.099912
M,wcharm,up,4,0.0,2.5,160.0,250.0,-1.0,1.0,1.476958
T,wcharm,central,4,0.0,2.5,25.0,30.0,-1.0,1.0,1.046742
T,wcharm,central,4,0.0,2.5,30.0,50.0,-1.0,1.0,1.042387
T,wcharm,central,4,0.0,2.5,50.0,70.0,-1.0,1.0,1.060816
T,wcharm,central,4,0.0,2.5,70.0,100.0,-1.0,1.0,1.103478
T,wcharm,central,4,0.0,2.5,100.0,130.0,-1.0,1.0,1.010165
T,wcharm,central,4,0.0,2.5,130.0,160.0,-1.0,1.0,0.826523
T,wcharm,central,4,0.0,2.5,160.0,250.0,-1.0,1.0,1.005971
T,wcharm,down,4,0.0,2.5,25.0,30.0,-1.0,1.0,0.9738060000000001
T,wcharm,down,4,0.0,2.5,30.0,50.0,-1.0,1.0,1.010518
T,wcharm,down,4,0.0,2.5,50.0,70.0,-1.0,1.0,1.01954
T,wcharm,down,4,0.0,2.5,70.0,100.0,-1.0,1.0,1.044124
T,wcharm,down,4,0.0,2.5,100.0,130.0,-1.0,1.0,0.9041319999999999
T,wcharm,down,4,0.0,2.5,130.0,160.0,-1.0,1.0,0.655837
T,wcharm,down,4,0.0,2.5,160.0,250.0,-1.0,1.0,0.688657
T,wcharm,up,4,0.0,2.5,25.0,30.0,-1.0,1.0,1.119678
T,wcharm,up,4,0.0,2.5,30.0,50.0,-1.0,1.0,1.0742559999999999
T,wcharm,up,4,0.0,2.5,50.0,70.0,-1.0,1.0,1.102092
T,wcharm,up,4,0.0,2.5,70.0,100.0,-1.0,1.0,1.1628319999999999
T,wcharm,up,4,0.0,2.5,100.0,130.0,-1.0,1.0,1.116198
T,wcharm,up,4,0.0,2.5,130.0,160.0,-1.0,1.0,0.997209
T,wcharm,up,4,0.0,2.5,160.0,250.0,-1.0,1.0,1.3232849999999998
L,TnP,central,5,0.0,2.5,30.0,50.0,0.0,1.0,1.12928888927
L,TnP,down,5,0.0,2.5,30.0,50.0,0.0,1.0,1.06386103948
L,TnP,up,5,0.0,2.5,30.0,50.0,0.0,1.0,1.19471673906
L,TnP,central,5,0.0,2.5,50.0,70.0,0.0,1.0,1.04571107105
L,TnP,down,5,0.0,2.5,50.0,70.0,0.0,1.0,0.984179175746
L,TnP,up,5,0.0,2.5,50.0,70.0,0.0,1.0,1.10724296636
L,TnP,central,5,0.0,2.5,70.0,100.0,0.0,1.0,1.04010688612
L,TnP,down,5,0.0,2.5,70.0,100.0,0.0,1.0,0.993286309657
L,TnP,up,5,0.0,2.5,70.0,100.0,0.0,1.0,1.08692746258
L,TnP,central,5,0.0,2.5,100.0,140.0,0.0,1.0,0.960954353025
L,TnP,down,5,0.0,2.5,100.0,140.0,0.0,1.0,0.922518516825
L,TnP,up,5,0.0,2.5,100.0,140.0,0.0,1.0,0.999390189224
L,TnP,central,5,0.0,2.5,140.0,200.0,0.0,1.0,0.968675812146
L,TnP,down,5,0.0,2.5,140.0,200.0,0.0,1.0,0.923769930712
L,TnP,up,5,0.0,2.5,140.0,200.0,0.0,1.0,1.01358169358
M,TnP,central,5,0.0,2.5,30.0,50.0,0.0,1.0,1.00765764803
M,TnP,down,5,0.0,2.5,30.0,50.0,0.0,1.0,0.934400133195
M,TnP,up,5,0.0,2.5,30.0,50.0,0.0,1.0,1.08091516286
M,TnP,central,5,0.0,2.5,50.0,70.0,0.0,1.0,1.07777849339
M,TnP,down,5,0.0,2.5,50.0,70.0,0.0,1.0,1.01310240744
M,TnP,up,5,0.0,2.5,50.0,70.0,0.0,1.0,1.14245457934
M,TnP,central,5,0.0,2.5,70.0,100.0,0.0,1.0,1.01052439536
M,TnP,down,5,0.0,2.5,70.0,100.0,0.0,1.0,0.963958072876
M,TnP,up,5,0.0,2.5,70.0,100.0,0.0,1.0,1.05709071785
M,TnP,central,5,0.0,2.5,100.0,140.0,0.0,1.0,0.995782637473
M,TnP,down,5,0.0,2.5,100.0,140.0,0.0,1.0,0.953737346284
M,TnP,up,5,0.0,2.5,100.0,140.0,0.0,1.0,1.03782792866
M,TnP,central,5,0.0,2.5,140.0,200.0,0.0,1.0,0.950639166205
M,TnP,down,5,0.0,2.5,140.0,200.0,0.0,1.0,0.898909197549
M,TnP,up,5,0.0,2.5,140.0,200.0,0.0,1.0,1.00236913486
T,TnP,central,5,0.0,2.5,30.0,50.0,0.0,1.0,0.93856082226
T,TnP,down,5,0.0,2.5,30.0,50.0,0.0,1.0,0.867948371958
T,TnP,up,5,0.0,2.5,30.0,50.0,0.0,1.0,1.00917327256
T,TnP,central,5,0.0,2.5,50.0,70.0,0.0,1.0,1.0563278584
T,TnP,down,5,0.0,2.5,50.0,70.0,0.0,1.0,0.989893243103
T,TnP,up,5,0.0,2.5,50.0,70.0,0.0,1.0,1.12276247369
T,TnP,central,5,0.0,2.5,70.0,100.0,0.0,1.0,1.02071367534
T,TnP,down,5,0.0,2.5,70.0,100.0,0.0,1.0,0.974205079889
T,TnP,up,5,0.0,2.5,70.0,100.0,0.0,1.0,1.0672222708
T,TnP,central,5,0.0,2.5,100.0,140.0,0.0,1.0,1.06652861343
T,TnP,down,5,0.0,2.5,100.0,140.0,0.0,1.0,1.02314631875
T,TnP,up,5,0.0,2.5,100.0,140.0,0.0,1.0,1.10991090811
T,TnP,central,5,0.0,2.5,140.0,200.0,0.0,1.0,1.04336349072
T,TnP,down,5,0.0,2.5,140.0,200.0,0.0,1.0,0.98731472842
T,TnP,up,5,0.0,2.5,140.0,200.0,0.0,1.0,1.09941225303
L,incl,central,0,0.0,2.5,20.0,1000.0,0.0,1.0,1.05909+-4.55831e-05*x+-3.8109e-08*x*x+-1.9541/x 
L,incl,down,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.05909+-4.55831e-05*x+-3.8109e-08*x*x+-1.9541/x)*(1-(0.0283428+4.79798e-07*x+-4.99409e-10*x*x)) 
L,incl,down_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.05909+-4.55831e-05*x+-3.8109e-08*x*x+-1.9541/x)*(1-(0.0283076+4.82884e-07*x+-5.08093e-10*x*x)) 
L,incl,down_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.05909+-4.55831e-05*x+-3.8109e-08*x*x+-1.9541/x)*(1-(0.00147324)) 
L,incl,up,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.05909+-4.55831e-05*x+-3.8109e-08*x*x+-1.9541/x)*(1+(0.0283428+4.79798e-07*x+-4.99409e-10*x*x)) 
L,incl,up_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.05909+-4.55831e-05*x+-3.8109e-08*x*x+-1.9541/x)*(1+(0.0283076+4.82884e-07*x+-5.08093e-10*x*x)) 
L,incl,up_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.05909+-4.55831e-05*x+-3.8109e-08*x*x+-1.9541/x)*(1+(0.00147324)) 
M,incl,central,0,0.0,2.5,20.0,1000.0,0.0,1.0,1.19674+0.00011874*x+-1.89974e-07*x*x+-2.35069/x 
M,incl,down,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.19674+0.00011874*x+-1.89974e-07*x*x+-2.35069/x)*(1-(0.0807249+4.84389e-06*x+-6.69184e-09*x*x)) 
M,incl,down_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.19674+0.00011874*x+-1.89974e-07*x*x+-2.35069/x)*(1-(0.0798047+4.81685e-06*x+-6.73041e-09*x*x)) 
M,incl,down_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.19674+0.00011874*x+-1.89974e-07*x*x+-2.35069/x)*(1-(0.0123613)) 
M,incl,up,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.19674+0.00011874*x+-1.89974e-07*x*x+-2.35069/x)*(1+(0.0807249+4.84389e-06*x+-6.69184e-09*x*x)) 
M,incl,up_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.19674+0.00011874*x+-1.89974e-07*x*x+-2.35069/x)*(1+(0.0798047+4.81685e-06*x+-6.73041e-09*x*x)) 
M,incl,up_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.19674+0.00011874*x+-1.89974e-07*x*x+-2.35069/x)*(1+(0.0123613)) 
T,incl,central,0,0.0,2.5,20.0,1000.0,0.0,1.0,1.32626+0.000644983*x+-6.56945e-07*x*x+-0.994515/x 
T,incl,down,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.32626+0.000644983*x+-6.56945e-07*x*x+-0.994515/x)*(1-(0.150866+3.39189e-05*x+-3.77817e-08*x*x)) 
T,incl,down_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.32626+0.000644983*x+-6.56945e-07*x*x+-0.994515/x)*(1-(0.147281+3.3976e-05*x+-3.8214e-08*x*x)) 
T,incl,down_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.32626+0.000644983*x+-6.56945e-07*x*x+-0.994515/x)*(1-(0.0337102)) 
T,incl,up,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.32626+0.000644983*x+-6.56945e-07*x*x+-0.994515/x)*(1+(0.150866+3.39189e-05*x+-3.77817e-08*x*x)) 
T,incl,up_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.32626+0.000644983*x+-6.56945e-07*x*x+-0.994515/x)*(1+(0.147281+3.3976e-05*x+-3.8214e-08*x*x)) 
T,incl,up_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.32626+0.000644983*x+-6.56945e-07*x*x+-0.994515/x)*(1+(0.0337102)) 
