OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,wcharm,central,4,0.0,2.5,25.0,30.0,-1.0,1.0,0.994079
L,wcharm,central,4,0.0,2.5,30.0,50.0,-1.0,1.0,1.012779
L,wcharm,central,4,0.0,2.5,50.0,70.0,-1.0,1.0,1.039393
L,wcharm,central,4,0.0,2.5,70.0,100.0,-1.0,1.0,1.045916
L,wcharm,central,4,0.0,2.5,100.0,130.0,-1.0,1.0,0.999465
L,wcharm,central,4,0.0,2.5,130.0,160.0,-1.0,1.0,0.991741
L,wcharm,central,4,0.0,2.5,160.0,250.0,-1.0,1.0,1.029848
L,wcharm,down,4,0.0,2.5,25.0,30.0,-1.0,1.0,0.9660030000000001
L,wcharm,down,4,0.0,2.5,30.0,50.0,-1.0,1.0,0.9952700000000001
L,wcharm,down,4,0.0,2.5,50.0,70.0,-1.0,1.0,1.010914
L,wcharm,down,4,0.0,2.5,70.0,100.0,-1.0,1.0,1.002949
L,wcharm,down,4,0.0,2.5,100.0,130.0,-1.0,1.0,0.9181330000000001
L,wcharm,down,4,0.0,2.5,130.0,160.0,-1.0,1.0,0.8299559999999999
L,wcharm,down,4,0.0,2.5,160.0,250.0,-1.0,1.0,0.7721210000000001
L,wcharm,up,4,0.0,2.5,25.0,30.0,-1.0,1.0,1.0221550000000001
L,wcharm,up,4,0.0,2.5,30.0,50.0,-1.0,1.0,1.030288
L,wcharm,up,4,0.0,2.5,50.0,70.0,-1.0,1.0,1.067872
L,wcharm,up,4,0.0,2.5,70.0,100.0,-1.0,1.0,1.088883
L,wcharm,up,4,0.0,2.5,100.0,130.0,-1.0,1.0,1.080797
L,wcharm,up,4,0.0,2.5,130.0,160.0,-1.0,1.0,1.153526
L,wcharm,up,4,0.0,2.5,160.0,250.0,-1.0,1.0,1.2875750000000001
M,wcharm,central,4,0.0,2.5,25.0,30.0,-1.0,1.0,0.994432
M,wcharm,central,4,0.0,2.5,30.0,50.0,-1.0,1.0,1.019441
M,wcharm,central,4,0.0,2.5,50.0,70.0,-1.0,1.0,1.049665
M,wcharm,central,4,0.0,2.5,70.0,100.0,-1.0,1.0,1.097455
M,wcharm,central,4,0.0,2.5,100.0,130.0,-1.0,1.0,0.997805
M,wcharm,central,4,0.0,2.5,130.0,160.0,-1.0,1.0,0.926999
M,wcharm,central,4,0.0,2.5,160.0,250.0,-1.0,1.0,1.022339
M,wcharm,down,4,0.0,2.5,25.0,30.0,-1.0,1.0,0.954434
M,wcharm,down,4,0.0,2.5,30.0,50.0,-1.0,1.0,0.99367
M,wcharm,down,4,0.0,2.5,50.0,70.0,-1.0,1.0,1.014802
M,wcharm,down,4,0.0,2.5,70.0,100.0,-1.0,1.0,1.044991
M,wcharm,down,4,0.0,2.5,100.0,130.0,-1.0,1.0,0.9126860000000001
M,wcharm,down,4,0.0,2.5,130.0,160.0,-1.0,1.0,0.770948
M,wcharm,down,4,0.0,2.5,160.0,250.0,-1.0,1.0,0.7652540000000001
M,wcharm,up,4,0.0,2.5,25.0,30.0,-1.0,1.0,1.03443
M,wcharm,up,4,0.0,2.5,30.0,50.0,-1.0,1.0,1.045212
M,wcharm,up,4,0.0,2.5,50.0,70.0,-1.0,1.0,1.0845280000000002
M,wcharm,up,4,0.0,2.5,70.0,100.0,-1.0,1.0,1.1499190000000001
M,wcharm,up,4,0.0,2.5,100.0,130.0,-1.0,1.0,1.082924
M,wcharm,up,4,0.0,2.5,130.0,160.0,-1.0,1.0,1.08305
M,wcharm,up,4,0.0,2.5,160.0,250.0,-1.0,1.0,1.2794240000000001
T,wcharm,central,4,0.0,2.5,25.0,30.0,-1.0,1.0,1.032787
T,wcharm,central,4,0.0,2.5,30.0,50.0,-1.0,1.0,1.035922
T,wcharm,central,4,0.0,2.5,50.0,70.0,-1.0,1.0,1.05016
T,wcharm,central,4,0.0,2.5,70.0,100.0,-1.0,1.0,1.129377
T,wcharm,central,4,0.0,2.5,100.0,130.0,-1.0,1.0,1.025138
T,wcharm,central,4,0.0,2.5,130.0,160.0,-1.0,1.0,0.901094
T,wcharm,central,4,0.0,2.5,160.0,250.0,-1.0,1.0,1.004283
T,wcharm,down,4,0.0,2.5,25.0,30.0,-1.0,1.0,0.9666789999999998
T,wcharm,down,4,0.0,2.5,30.0,50.0,-1.0,1.0,1.001896
T,wcharm,down,4,0.0,2.5,50.0,70.0,-1.0,1.0,1.009201
T,wcharm,down,4,0.0,2.5,70.0,100.0,-1.0,1.0,1.06993
T,wcharm,down,4,0.0,2.5,100.0,130.0,-1.0,1.0,0.9257920000000001
T,wcharm,down,4,0.0,2.5,130.0,160.0,-1.0,1.0,0.734517
T,wcharm,down,4,0.0,2.5,160.0,250.0,-1.0,1.0,0.7343280000000001
T,wcharm,up,4,0.0,2.5,25.0,30.0,-1.0,1.0,1.098895
T,wcharm,up,4,0.0,2.5,30.0,50.0,-1.0,1.0,1.0699480000000001
T,wcharm,up,4,0.0,2.5,50.0,70.0,-1.0,1.0,1.091119
T,wcharm,up,4,0.0,2.5,70.0,100.0,-1.0,1.0,1.188824
T,wcharm,up,4,0.0,2.5,100.0,130.0,-1.0,1.0,1.124484
T,wcharm,up,4,0.0,2.5,130.0,160.0,-1.0,1.0,1.067671
T,wcharm,up,4,0.0,2.5,160.0,250.0,-1.0,1.0,1.274238
L,TnP,central,5,0.0,2.5,30.0,50.0,0.0,1.0,1.10568354413
L,TnP,down,5,0.0,2.5,30.0,50.0,0.0,1.0,1.04156313223
L,TnP,up,5,0.0,2.5,30.0,50.0,0.0,1.0,1.16980395603
L,TnP,central,5,0.0,2.5,50.0,70.0,0.0,1.0,1.01094712919
L,TnP,down,5,0.0,2.5,50.0,70.0,0.0,1.0,0.947706608307
L,TnP,up,5,0.0,2.5,50.0,70.0,0.0,1.0,1.07418765008
L,TnP,central,5,0.0,2.5,70.0,100.0,0.0,1.0,1.02156062401
L,TnP,down,5,0.0,2.5,70.0,100.0,0.0,1.0,0.971275480226
L,TnP,up,5,0.0,2.5,70.0,100.0,0.0,1.0,1.0718457678
L,TnP,central,5,0.0,2.5,100.0,140.0,0.0,1.0,0.944150286727
L,TnP,down,5,0.0,2.5,100.0,140.0,0.0,1.0,0.903094561644
L,TnP,up,5,0.0,2.5,100.0,140.0,0.0,1.0,0.98520601181
L,TnP,central,5,0.0,2.5,140.0,200.0,0.0,1.0,0.982244371782
L,TnP,down,5,0.0,2.5,140.0,200.0,0.0,1.0,0.933904408611
L,TnP,up,5,0.0,2.5,140.0,200.0,0.0,1.0,1.03058433495
M,TnP,central,5,0.0,2.5,30.0,50.0,0.0,1.0,1.00548309126
M,TnP,down,5,0.0,2.5,30.0,50.0,0.0,1.0,0.928683703129
M,TnP,up,5,0.0,2.5,30.0,50.0,0.0,1.0,1.08228247939
M,TnP,central,5,0.0,2.5,50.0,70.0,0.0,1.0,1.01056433874
M,TnP,down,5,0.0,2.5,50.0,70.0,0.0,1.0,0.942056942514
M,TnP,up,5,0.0,2.5,50.0,70.0,0.0,1.0,1.07907173496
M,TnP,central,5,0.0,2.5,70.0,100.0,0.0,1.0,1.00154510716
M,TnP,down,5,0.0,2.5,70.0,100.0,0.0,1.0,0.949013618346
M,TnP,up,5,0.0,2.5,70.0,100.0,0.0,1.0,1.05407659596
M,TnP,central,5,0.0,2.5,100.0,140.0,0.0,1.0,1.02707571104
M,TnP,down,5,0.0,2.5,100.0,140.0,0.0,1.0,0.981422852441
M,TnP,up,5,0.0,2.5,100.0,140.0,0.0,1.0,1.07272856963
M,TnP,central,5,0.0,2.5,140.0,200.0,0.0,1.0,0.977168404714
M,TnP,down,5,0.0,2.5,140.0,200.0,0.0,1.0,0.920517192473
M,TnP,up,5,0.0,2.5,140.0,200.0,0.0,1.0,1.03381961696
T,TnP,central,5,0.0,2.5,30.0,50.0,0.0,1.0,0.981849784868
T,TnP,down,5,0.0,2.5,30.0,50.0,0.0,1.0,0.913887462379
T,TnP,up,5,0.0,2.5,30.0,50.0,0.0,1.0,1.04981210736
T,TnP,central,5,0.0,2.5,50.0,70.0,0.0,1.0,1.14183463627
T,TnP,down,5,0.0,2.5,50.0,70.0,0.0,1.0,1.07501881726
T,TnP,up,5,0.0,2.5,50.0,70.0,0.0,1.0,1.20865045529
T,TnP,central,5,0.0,2.5,70.0,100.0,0.0,1.0,1.00333476245
T,TnP,down,5,0.0,2.5,70.0,100.0,0.0,1.0,0.953822072829
T,TnP,up,5,0.0,2.5,70.0,100.0,0.0,1.0,1.05284745206
