OperatingPoint,measurementType,sysType,jetFlavor,cvlMin,cvlMax,cvbMin,cvbMax,formula
shape,iterativefit,central,0,0.0,0.02,0.0,0.02,1.9774044752
shape,iterativefit,central,0,0.0,0.02,0.02,0.04,1.9774044752
shape,iterativefit,central,0,0.0,0.02,0.04,0.06,1.9774044752
shape,iterativefit,central,0,0.0,0.02,0.06,0.08,1.9774044752
shape,iterativefit,central,0,0.0,0.02,0.08,0.1,1.9774044752
shape,iterativefit,central,0,0.0,0.02,0.1,0.12,1.0
shape,iterativefit,central,0,0.0,0.02,0.12,0.14,1.0
shape,iterativefit,central,0,0.0,0.02,0.14,0.16,1.0
shape,iterativefit,central,0,0.0,0.02,0.16,0.18,1.0
shape,iterativefit,central,0,0.0,0.02,0.18,0.2,1.0
shape,iterativefit,central,0,0.0,0.02,0.2,0.22,1.0
shape,iterativefit,central,0,0.0,0.02,0.22,0.24,1.0
shape,iterativefit,central,0,0.0,0.02,0.24,0.26,1.0
shape,iterativefit,central,0,0.0,0.02,0.26,0.28,1.0
shape,iterativefit,central,0,0.0,0.02,0.28,0.3,1.0
shape,iterativefit,central,0,0.0,0.02,0.3,0.32,0.985855639
shape,iterativefit,central,0,0.0,0.02,0.32,0.34,0.985855639
shape,iterativefit,central,0,0.0,0.02,0.34,0.36,0.985855639
shape,iterativefit,central,0,0.0,0.02,0.36,0.38,0.985855639
shape,iterativefit,central,0,0.0,0.02,0.38,0.4,0.985855639
shape,iterativefit,central,0,0.0,0.02,0.4,0.42,0.985855639
shape,iterativefit,central,0,0.0,0.02,0.42,0.44,1.4396849871
shape,iterativefit,central,0,0.0,0.02,0.44,0.46,1.4396849871
shape,iterativefit,central,0,0.0,0.02,0.46,0.48,1.4396849871
shape,iterativefit,central,0,0.0,0.02,0.48,0.5,1.4396849871
shape,iterativefit,central,0,0.0,0.02,0.5,0.52,1.4396849871
shape,iterativefit,central,0,0.0,0.02,0.52,0.54,1.4349999428
shape,iterativefit,central,0,0.0,0.02,0.54,0.56,1.4349999428
shape,iterativefit,central,0,0.0,0.02,0.56,0.58,1.4349999428
shape,iterativefit,central,0,0.0,0.02,0.58,0.6,1.4349999428
shape,iterativefit,central,0,0.0,0.02,0.6,0.62,1.2943121195
shape,iterativefit,central,0,0.0,0.02,0.62,0.64,1.1888356209
shape,iterativefit,central,0,0.0,0.02,0.64,0.66,1.1888356209
shape,iterativefit,central,0,0.0,0.02,0.66,0.68,1.1888356209
shape,iterativefit,central,0,0.0,0.02,0.68,0.7,1.1888356209
shape,iterativefit,central,0,0.0,0.02,0.7,0.72,1.0761350393
shape,iterativefit,central,0,0.0,0.02,0.72,0.74,0.9114124775
shape,iterativefit,central,0,0.0,0.02,0.74,0.76,0.9114124775
shape,iterativefit,central,0,0.0,0.02,0.76,0.78,0.9114124775
shape,iterativefit,central,0,0.0,0.02,0.78,0.8,0.9114124775
shape,iterativefit,central,0,0.0,0.02,0.8,0.82,0.6693160534
shape,iterativefit,central,0,0.0,0.02,0.82,0.84,0.6693160534
shape,iterativefit,central,0,0.0,0.02,0.84,0.86,0.6693160534
shape,iterativefit,central,0,0.0,0.02,0.86,0.88,0.6693160534
shape,iterativefit,central,0,0.0,0.02,0.88,0.9,0.6693160534
shape,iterativefit,central,0,0.0,0.02,0.9,0.92,0.902110815
shape,iterativefit,central,0,0.0,0.02,0.92,0.94,0.902110815
shape,iterativefit,central,0,0.0,0.02,0.94,0.96,0.9358561039
shape,iterativefit,central,0,0.0,0.02,0.96,0.98,0.9358561039
shape,iterativefit,central,0,0.0,0.02,0.98,1.0,0.9358561039
shape,iterativefit,central,0,0.02,0.04,0.0,0.02,1.9774044752
