OperatingPoint,measurementType,sysType,jetFlavor,cvlMin,cvlMax,cvbMin,cvbMax,formula
shape,iterativefit,central,0,0.0,0.02,0.0,0.02,2.3800001144
shape,iterativefit,central,0,0.0,0.02,0.02,0.04,2.3800001144
shape,iterativefit,central,0,0.0,0.02,0.04,0.06,2.3800001144
shape,iterativefit,central,0,0.0,0.02,0.06,0.08,2.3800001144
shape,iterativefit,central,0,0.0,0.02,0.08,0.1,2.3800001144
shape,iterativefit,central,0,0.0,0.02,0.1,0.12,1.8099919558
shape,iterativefit,central,0,0.0,0.02,0.12,0.14,1.8099919558
shape,iterativefit,central,0,0.0,0.02,0.14,0.16,1.8099919558
shape,iterativefit,central,0,0.0,0.02,0.16,0.18,1.8099919558
shape,iterativefit,central,0,0.0,0.02,0.18,0.2,1.8099919558
shape,iterativefit,central,0,0.0,0.02,0.2,0.22,1.6664853096
shape,iterativefit,central,0,0.0,0.02,0.22,0.24,1.6664853096
shape,iterativefit,central,0,0.0,0.02,0.24,0.26,1.6664853096
shape,iterativefit,central,0,0.0,0.02,0.26,0.28,1.6664853096
shape,iterativefit,central,0,0.0,0.02,0.28,0.3,1.6664853096
shape,iterativefit,central,0,0.0,0.02,0.3,0.32,1.6664853096
shape,iterativefit,central,0,0.0,0.02,0.32,0.34,1.2297618389
shape,iterativefit,central,0,0.0,0.02,0.34,0.36,1.2297618389
shape,iterativefit,central,0,0.0,0.02,0.36,0.38,1.2297618389
shape,iterativefit,central,0,0.0,0.02,0.38,0.4,1.2297618389
shape,iterativefit,central,0,0.0,0.02,0.4,0.42,1.1534097195
shape,iterativefit,central,0,0.0,0.02,0.42,0.44,1.1534097195
shape,iterativefit,central,0,0.0,0.02,0.44,0.46,1.1534097195
shape,iterativefit,central,0,0.0,0.02,0.46,0.48,1.1534097195
shape,iterativefit,central,0,0.0,0.02,0.48,0.5,1.0366224051
shape,iterativefit,central,0,0.0,0.02,0.5,0.52,1.0366224051
shape,iterativefit,central,0,0.0,0.02,0.52,0.54,1.042708993
shape,iterativefit,central,0,0.0,0.02,0.54,0.56,1.042708993
shape,iterativefit,central,0,0.0,0.02,0.56,0.58,1.042708993
shape,iterativefit,central,0,0.0,0.02,0.58,0.6,1.042708993
shape,iterativefit,central,0,0.0,0.02,0.6,0.62,1.042708993
shape,iterativefit,central,0,0.0,0.02,0.62,0.64,1.1546213627
shape,iterativefit,central,0,0.0,0.02,0.64,0.66,1.1546213627
shape,iterativefit,central,0,0.0,0.02,0.66,0.68,1.1546213627
shape,iterativefit,central,0,0.0,0.02,0.68,0.7,1.1546213627
shape,iterativefit,central,0,0.0,0.02,0.7,0.72,1.1834946871
shape,iterativefit,central,0,0.0,0.02,0.72,0.74,1.1834946871
shape,iterativefit,central,0,0.0,0.02,0.74,0.76,1.1834946871
shape,iterativefit,central,0,0.0,0.02,0.76,0.78,1.1834946871
shape,iterativefit,central,0,0.0,0.02,0.78,0.8,1.1834946871
shape,iterativefit,central,0,0.0,0.02,0.8,0.82,0.9536802173
shape,iterativefit,central,0,0.0,0.02,0.82,0.84,0.9107232094
shape,iterativefit,central,0,0.0,0.02,0.84,0.86,0.8387855887
shape,iterativefit,central,0,0.0,0.02,0.86,0.88,0.8387855887
shape,iterativefit,central,0,0.0,0.02,0.88,0.9,0.8387855887
shape,iterativefit,central,0,0.0,0.02,0.9,0.92,0.8039126396
shape,iterativefit,central,0,0.0,0.02,0.92,0.94,0.8039126396
shape,iterativefit,central,0,0.0,0.02,0.94,0.96,0.8039126396
shape,iterativefit,central,0,0.0,0.02,0.96,0.98,1.0032566786
shape,iterativefit,central,0,0.0,0.02,0.98,1.0,1.0032566786
shape,iterativefit,central,0,0.02,0.04,0.0,0.02,2.3800001144
shape,iterativefit,central,0,0.02,0.04,0.02,0.04,2.3800001144
shape,iterativefit,central,0,0.02,0.04,0.04,0.06,2.3800001144
shape,iterativefit,central,0,0.02,0.04,0.06,0.08,2.3800001144
shape,iterativefit,central,0,0.02,0.04,0.08,0.1,2.3800001144
shape,iterativefit,central,0,0.02,0.04,0.1,0.12,1.8099919558
shape,iterativefit,central,0,0.02,0.04,0.12,0.14,1.8099919558
shape,iterativefit,central,0,0.02,0.04,0.14,0.16,1.8099919558
shape,iterativefit,central,0,0.02,0.04,0.16,0.18,1.8099919558
shape,iterativefit,central,0,0.02,0.04,0.18,0.2,1.8099919558
shape,iterativefit,central,0,0.02,0.04,0.2,0.22,1.6664853096
shape,iterativefit,central,0,0.02,0.04,0.22,0.24,1.6664853096
shape,iterativefit,central,0,0.02,0.04,0.24,0.26,1.6664853096
shape,iterativefit,central,0,0.02,0.04,0.26,0.28,1.6664853096
shape,iterativefit,central,0,0.02,0.04,0.28,0.3,1.6664853096
shape,iterativefit,central,0,0.02,0.04,0.3,0.32,1.6664853096
shape,iterativefit,central,0,0.02,0.04,0.32,0.34,1.2297618389
shape,iterativefit,central,0,0.02,0.04,0.34,0.36,1.2297618389
shape,iterativefit,central,0,0.02,0.04,0.36,0.38,1.2297618389
shape,iterativefit,central,0,0.02,0.04,0.38,0.4,1.2297618389
shape,iterativefit,central,0,0.02,0.04,0.4,0.42,1.2297618389
shape,iterativefit,central,0,0.02,0.04,0.42,0.44,1.1534097195
shape,iterativefit,central,0,0.02,0.04,0.44,0.46,1.1534097195
shape,iterativefit,central,0,0.02,0.04,0.46,0.48,1.1534097195
shape,iterativefit,central,0,0.02,0.04,0.48,0.5,1.1534097195
shape,iterativefit,central,0,0.02,0.04,0.5,0.52,1.0366224051
shape,iterativefit,central,0,0.02,0.04,0.52,0.54,1.042708993
shape,iterativefit,central,0,0.02,0.04,0.54,0.56,1.042708993
shape,iterativefit,central,0,0.02,0.04,0.56,0.58,1.042708993
shape,iterativefit,central,0,0.02,0.04,0.58,0.6,1.042708993
shape,iterativefit,central,0,0.02,0.04,0.6,0.62,1.042708993
shape,iterativefit,central,0,0.02,0.04,0.62,0.64,1.1546213627
shape,iterativefit,central,0,0.02,0.04,0.64,0.66,1.1546213627
shape,iterativefit,central,0,0.02,0.04,0.66,0.68,1.1546213627
shape,iterativefit,central,0,0.02,0.04,0.68,0.7,1.1546213627
shape,iterativefit,central,0,0.02,0.04,0.7,0.72,1.023799777
shape,iterativefit,central,0,0.02,0.04,0.72,0.74,1.1834946871
shape,iterativefit,central,0,0.02,0.04,0.74,0.76,1.1834946871
shape,iterativefit,central,0,0.02,0.04,0.76,0.78,1.1542392969
shape,iterativefit,central,0,0.02,0.04,0.78,0.8,1.0843660831
shape,iterativefit,central,0,0.02,0.04,0.8,0.82,1.0067260265
shape,iterativefit,central,0,0.02,0.04,0.82,0.84,0.9327467084
shape,iterativefit,central,0,0.02,0.04,0.84,0.86,0.8738554716
shape,iterativefit,central,0,0.02,0.04,0.86,0.88,0.8414797187
shape,iterativefit,central,0,0.02,0.04,0.88,0.9,0.8267333508
shape,iterativefit,central,0,0.02,0.04,0.9,0.92,0.8051487207
shape,iterativefit,central,0,0.02,0.04,0.92,0.94,0.8039126396
shape,iterativefit,central,0,0.02,0.04,0.94,0.96,1.0032566786
shape,iterativefit,central,0,0.02,0.04,0.96,0.98,1.0032566786
shape,iterativefit,central,0,0.02,0.04,0.98,1.0,1.0686490536
shape,iterativefit,central,0,0.04,0.06,0.0,0.02,2.3800001144
shape,iterativefit,central,0,0.04,0.06,0.02,0.04,2.3800001144
shape,iterativefit,central,0,0.04,0.06,0.04,0.06,2.3800001144
shape,iterativefit,central,0,0.04,0.06,0.06,0.08,2.3800001144
shape,iterativefit,central,0,0.04,0.06,0.08,0.1,2.3800001144
shape,iterativefit,central,0,0.04,0.06,0.1,0.12,1.8099919558
shape,iterativefit,central,0,0.04,0.06,0.12,0.14,1.8099919558
shape,iterativefit,central,0,0.04,0.06,0.14,0.16,1.8099919558
shape,iterativefit,central,0,0.04,0.06,0.16,0.18,1.8099919558
shape,iterativefit,central,0,0.04,0.06,0.18,0.2,1.8099919558
shape,iterativefit,central,0,0.04,0.06,0.2,0.22,1.6664853096
shape,iterativefit,central,0,0.04,0.06,0.22,0.24,1.6664853096
shape,iterativefit,central,0,0.04,0.06,0.24,0.26,1.6664853096
shape,iterativefit,central,0,0.04,0.06,0.26,0.28,1.6664853096
shape,iterativefit,central,0,0.04,0.06,0.28,0.3,1.6664853096
shape,iterativefit,central,0,0.04,0.06,0.3,0.32,1.6664853096
shape,iterativefit,central,0,0.04,0.06,0.32,0.34,1.2297618389
shape,iterativefit,central,0,0.04,0.06,0.34,0.36,1.2297618389
shape,iterativefit,central,0,0.04,0.06,0.36,0.38,1.2297618389
shape,iterativefit,central,0,0.04,0.06,0.38,0.4,1.2297618389
shape,iterativefit,central,0,0.04,0.06,0.4,0.42,1.2297618389
shape,iterativefit,central,0,0.04,0.06,0.42,0.44,1.1534097195
shape,iterativefit,central,0,0.04,0.06,0.44,0.46,1.1534097195
shape,iterativefit,central,0,0.04,0.06,0.46,0.48,1.1534097195
shape,iterativefit,central,0,0.04,0.06,0.48,0.5,1.1534097195
shape,iterativefit,central,0,0.04,0.06,0.5,0.52,1.0366224051
shape,iterativefit,central,0,0.04,0.06,0.52,0.54,1.0366224051
shape,iterativefit,central,0,0.04,0.06,0.54,0.56,1.042708993
shape,iterativefit,central,0,0.04,0.06,0.56,0.58,1.0250864029
shape,iterativefit,central,0,0.04,0.06,0.58,0.6,0.9545858502
shape,iterativefit,central,0,0.04,0.06,0.6,0.62,0.9779660702
shape,iterativefit,central,0,0.04,0.06,0.62,0.64,1.047352314
shape,iterativefit,central,0,0.04,0.06,0.64,0.66,1.1148701906
shape,iterativefit,central,0,0.04,0.06,0.66,0.68,1.1492724419
shape,iterativefit,central,0,0.04,0.06,0.68,0.7,1.158054471
shape,iterativefit,central,0,0.04,0.06,0.7,0.72,1.1399723291
shape,iterativefit,central,0,0.04,0.06,0.72,0.74,1.1021533012
shape,iterativefit,central,0,0.04,0.06,0.74,0.76,1.0850270987
shape,iterativefit,central,0,0.04,0.06,0.76,0.78,1.0451914072
shape,iterativefit,central,0,0.04,0.06,0.78,0.8,0.9862118959
shape,iterativefit,central,0,0.04,0.06,0.8,0.82,0.9336585999
shape,iterativefit,central,0,0.04,0.06,0.82,0.84,0.9061359763
shape,iterativefit,central,0,0.04,0.06,0.84,0.86,0.9071397185
shape,iterativefit,central,0,0.04,0.06,0.86,0.88,0.940528512
shape,iterativefit,central,0,0.04,0.06,0.88,0.9,0.9547319412
shape,iterativefit,central,0,0.04,0.06,0.9,0.92,0.9489417672
shape,iterativefit,central,0,0.04,0.06,0.92,0.94,0.9627084136
shape,iterativefit,central,0,0.04,0.06,0.94,0.96,1.0032566786
shape,iterativefit,central,0,0.04,0.06,0.96,0.98,1.0686490536
shape,iterativefit,central,0,0.04,0.06,0.98,1.0,1.0686490536
shape,iterativefit,central,0,0.06,0.08,0.0,0.02,2.3800001144
shape,iterativefit,central,0,0.06,0.08,0.02,0.04,2.3800001144
shape,iterativefit,central,0,0.06,0.08,0.04,0.06,2.3800001144
shape,iterativefit,central,0,0.06,0.08,0.06,0.08,2.3800001144
shape,iterativefit,central,0,0.06,0.08,0.08,0.1,2.3800001144
shape,iterativefit,central,0,0.06,0.08,0.1,0.12,1.8099919558
shape,iterativefit,central,0,0.06,0.08,0.12,0.14,1.8099919558
shape,iterativefit,central,0,0.06,0.08,0.14,0.16,1.8099919558
shape,iterativefit,central,0,0.06,0.08,0.16,0.18,1.8099919558
shape,iterativefit,central,0,0.06,0.08,0.18,0.2,1.8099919558
shape,iterativefit,central,0,0.06,0.08,0.2,0.22,1.6664853096
shape,iterativefit,central,0,0.06,0.08,0.22,0.24,1.6664853096
shape,iterativefit,central,0,0.06,0.08,0.24,0.26,1.6664853096
shape,iterativefit,central,0,0.06,0.08,0.26,0.28,1.6664853096
shape,iterativefit,central,0,0.06,0.08,0.28,0.3,1.6664853096
shape,iterativefit,central,0,0.06,0.08,0.3,0.32,1.6664853096
shape,iterativefit,central,0,0.06,0.08,0.32,0.34,1.2297618389
shape,iterativefit,central,0,0.06,0.08,0.34,0.36,1.2297618389
shape,iterativefit,central,0,0.06,0.08,0.36,0.38,1.2297618389
shape,iterativefit,central,0,0.06,0.08,0.38,0.4,1.2297618389
shape,iterativefit,central,0,0.06,0.08,0.4,0.42,1.2297618389
shape,iterativefit,central,0,0.06,0.08,0.42,0.44,1.1534097195
shape,iterativefit,central,0,0.06,0.08,0.44,0.46,1.2402597666
shape,iterativefit,central,0,0.06,0.08,0.46,0.48,1.2252886295
shape,iterativefit,central,0,0.06,0.08,0.48,0.5,1.2080004215
