OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,wcharm,central,4,0.0,2.5,20.0,30.0,-1.0,1.0,0.998741
L,wcharm,central,4,0.0,2.5,30.0,40.0,-1.0,1.0,1.006485
L,wcharm,central,4,0.0,2.5,40.0,50.0,-1.0,1.0,0.969125
L,wcharm,central,4,0.0,2.5,50.0,110.0,-1.0,1.0,0.979045
L,wcharm,central,4,0.0,2.5,110.0,210.0,-1.0,1.0,0.980932
L,wcharm,down,4,0.0,2.5,20.0,30.0,-1.0,1.0,0.958516
L,wcharm,down,4,0.0,2.5,30.0,40.0,-1.0,1.0,0.960288
L,wcharm,down,4,0.0,2.5,40.0,50.0,-1.0,1.0,0.906867
L,wcharm,down,4,0.0,2.5,50.0,110.0,-1.0,1.0,0.923099
L,wcharm,down,4,0.0,2.5,110.0,210.0,-1.0,1.0,0.920469
L,wcharm,up,4,0.0,2.5,20.0,30.0,-1.0,1.0,1.038966
L,wcharm,up,4,0.0,2.5,30.0,40.0,-1.0,1.0,1.0526820000000001
L,wcharm,up,4,0.0,2.5,40.0,50.0,-1.0,1.0,1.031383
L,wcharm,up,4,0.0,2.5,50.0,110.0,-1.0,1.0,1.034991
L,wcharm,up,4,0.0,2.5,110.0,210.0,-1.0,1.0,1.041395
M,wcharm,central,4,0.0,2.5,20.0,30.0,-1.0,1.0,0.898456
M,wcharm,central,4,0.0,2.5,30.0,40.0,-1.0,1.0,0.855116
M,wcharm,central,4,0.0,2.5,40.0,50.0,-1.0,1.0,0.876741
M,wcharm,central,4,0.0,2.5,50.0,110.0,-1.0,1.0,0.851636
M,wcharm,central,4,0.0,2.5,110.0,210.0,-1.0,1.0,0.855525
M,wcharm,down,4,0.0,2.5,20.0,30.0,-1.0,1.0,0.861282
M,wcharm,down,4,0.0,2.5,30.0,40.0,-1.0,1.0,0.813214
M,wcharm,down,4,0.0,2.5,40.0,50.0,-1.0,1.0,0.832602
M,wcharm,down,4,0.0,2.5,50.0,110.0,-1.0,1.0,0.7484839999999999
M,wcharm,down,4,0.0,2.5,110.0,210.0,-1.0,1.0,0.783747
M,wcharm,up,4,0.0,2.5,20.0,30.0,-1.0,1.0,0.9356300000000001
M,wcharm,up,4,0.0,2.5,30.0,40.0,-1.0,1.0,0.897018
M,wcharm,up,4,0.0,2.5,40.0,50.0,-1.0,1.0,0.92088
M,wcharm,up,4,0.0,2.5,50.0,110.0,-1.0,1.0,0.954788
M,wcharm,up,4,0.0,2.5,110.0,210.0,-1.0,1.0,0.927303
T,wcharm,central,4,0.0,2.5,20.0,30.0,-1.0,1.0,0.836308
T,wcharm,central,4,0.0,2.5,30.0,40.0,-1.0,1.0,0.773304
T,wcharm,central,4,0.0,2.5,40.0,50.0,-1.0,1.0,0.7446
T,wcharm,central,4,0.0,2.5,50.0,110.0,-1.0,1.0,0.900284
T,wcharm,central,4,0.0,2.5,110.0,210.0,-1.0,1.0,0.423073
T,wcharm,down,4,0.0,2.5,20.0,30.0,-1.0,1.0,0.6082240000000001
T,wcharm,down,4,0.0,2.5,30.0,40.0,-1.0,1.0,0.734154
T,wcharm,down,4,0.0,2.5,40.0,50.0,-1.0,1.0,0.44415800000000005
T,wcharm,down,4,0.0,2.5,50.0,110.0,-1.0,1.0,0.8029759999999999
T,wcharm,down,4,0.0,2.5,110.0,210.0,-1.0,1.0,0.38494399999999995
T,wcharm,up,4,0.0,2.5,20.0,30.0,-1.0,1.0,1.064392
T,wcharm,up,4,0.0,2.5,30.0,40.0,-1.0,1.0,0.812454
T,wcharm,up,4,0.0,2.5,40.0,50.0,-1.0,1.0,1.045042
T,wcharm,up,4,0.0,2.5,50.0,110.0,-1.0,1.0,0.997592
T,wcharm,up,4,0.0,2.5,110.0,210.0,-1.0,1.0,0.461202
L,TnP,central,5,0.0,2.5,30.0,50.0,0.0,1.0,1.0721056738
L,TnP,down,5,0.0,2.5,30.0,50.0,0.0,1.0,1.00277092319
L,TnP,up,5,0.0,2.5,30.0,50.0,0.0,1.0,1.14144042441
L,TnP,central,5,0.0,2.5,50.0,70.0,0.0,1.0,1.2142957054
L,TnP,down,5,0.0,2.5,50.0,70.0,0.0,1.0,1.15069550048
L,TnP,up,5,0.0,2.5,50.0,70.0,0.0,1.0,1.27789591032
L,TnP,central,5,0.0,2.5,70.0,100.0,0.0,1.0,1.2376723797
L,TnP,down,5,0.0,2.5,70.0,100.0,0.0,1.0,1.18843153922
L,TnP,up,5,0.0,2.5,70.0,100.0,0.0,1.0,1.28691322019
L,TnP,central,5,0.0,2.5,100.0,140.0,0.0,1.0,1.15103258062
L,TnP,down,5,0.0,2.5,100.0,140.0,0.0,1.0,1.11310244964
L,TnP,up,5,0.0,2.5,100.0,140.0,0.0,1.0,1.18896271161
L,TnP,central,5,0.0,2.5,140.0,200.0,0.0,1.0,1.08381520868
L,TnP,down,5,0.0,2.5,140.0,200.0,0.0,1.0,1.04017512918
L,TnP,up,5,0.0,2.5,140.0,200.0,0.0,1.0,1.12745528817
M,TnP,central,5,0.0,2.5,30.0,50.0,0.0,1.0,1.0578398855
M,TnP,down,5,0.0,2.5,30.0,50.0,0.0,1.0,1.00894994332
M,TnP,up,5,0.0,2.5,30.0,50.0,0.0,1.0,1.10672982769
M,TnP,central,5,0.0,2.5,50.0,70.0,0.0,1.0,1.1336078783
M,TnP,down,5,0.0,2.5,50.0,70.0,0.0,1.0,1.08153863321
M,TnP,up,5,0.0,2.5,50.0,70.0,0.0,1.0,1.18567712339
M,TnP,central,5,0.0,2.5,70.0,100.0,0.0,1.0,1.12709741266
M,TnP,down,5,0.0,2.5,70.0,100.0,0.0,1.0,1.086698061
M,TnP,up,5,0.0,2.5,70.0,100.0,0.0,1.0,1.16749676432
M,TnP,central,5,0.0,2.5,100.0,140.0,0.0,1.0,1.03942437216
M,TnP,down,5,0.0,2.5,100.0,140.0,0.0,1.0,1.00382499081
M,TnP,up,5,0.0,2.5,100.0,140.0,0.0,1.0,1.07502375351
M,TnP,central,5,0.0,2.5,140.0,200.0,0.0,1.0,1.0525262067
M,TnP,down,5,0.0,2.5,140.0,200.0,0.0,1.0,1.01804100936
M,TnP,up,5,0.0,2.5,140.0,200.0,0.0,1.0,1.08701140404
T,TnP,central,5,0.0,2.5,30.0,50.0,0.0,1.0,0.896474659394
T,TnP,down,5,0.0,2.5,30.0,50.0,0.0,1.0,0.854468132452
T,TnP,up,5,0.0,2.5,30.0,50.0,0.0,1.0,0.938481186336
T,TnP,central,5,0.0,2.5,50.0,70.0,0.0,1.0,0.921979370081
T,TnP,down,5,0.0,2.5,50.0,70.0,0.0,1.0,0.883764979457
T,TnP,up,5,0.0,2.5,50.0,70.0,0.0,1.0,0.960193760704
T,TnP,central,5,0.0,2.5,70.0,100.0,0.0,1.0,0.958912877089
T,TnP,down,5,0.0,2.5,70.0,100.0,0.0,1.0,0.926776024471
T,TnP,up,5,0.0,2.5,70.0,100.0,0.0,1.0,0.991049729706
T,TnP,central,5,0.0,2.5,100.0,140.0,0.0,1.0,0.945976153469
T,TnP,down,5,0.0,2.5,100.0,140.0,0.0,1.0,0.917486877121
T,TnP,up,5,0.0,2.5,100.0,140.0,0.0,1.0,0.974465429817
T,TnP,central,5,0.0,2.5,140.0,200.0,0.0,1.0,0.932504913917
T,TnP,down,5,0.0,2.5,140.0,200.0,0.0,1.0,0.898177403333
T,TnP,up,5,0.0,2.5,140.0,200.0,0.0,1.0,0.966832424501
L,incl,central,0,0.0,2.5,20.0,1000.0,0.0,1.0,1.02829+-0.000108592*x+8.13187e-08*x*x+-1.58869/x 
L,incl,down,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.02829+-0.000108592*x+8.13187e-08*x*x+-1.58869/x)*(1-(0.0287435+3.84516e-07*x+-5.50864e-10*x*x)) 
L,incl,down_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.02829+-0.000108592*x+8.13187e-08*x*x+-1.58869/x)*(1-(0.0282659+3.88379e-07*x+-5.52714e-10*x*x)) 
L,incl,down_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.02829+-0.000108592*x+8.13187e-08*x*x+-1.58869/x)*(1-(0.00522019)) 
L,incl,up,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.02829+-0.000108592*x+8.13187e-08*x*x+-1.58869/x)*(1+(0.0287435+3.84516e-07*x+-5.50864e-10*x*x)) 
L,incl,up_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.02829+-0.000108592*x+8.13187e-08*x*x+-1.58869/x)*(1+(0.0282659+3.88379e-07*x+-5.52714e-10*x*x)) 
L,incl,up_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.02829+-0.000108592*x+8.13187e-08*x*x+-1.58869/x)*(1+(0.00522019)) 
M,incl,central,0,0.0,2.5,20.0,1000.0,0.0,1.0,1.09044+1.0214e-05*x+-1.01308e-07*x*x+0.519089/x 
