OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,wcharm,central,4,0.0,2.5,20.0,30.0,-1.0,1.0,1.004892
L,wcharm,central,4,0.0,2.5,30.0,40.0,-1.0,1.0,1.012721
L,wcharm,central,4,0.0,2.5,40.0,50.0,-1.0,1.0,0.986546
L,wcharm,central,4,0.0,2.5,50.0,110.0,-1.0,1.0,0.979539
L,wcharm,central,4,0.0,2.5,110.0,210.0,-1.0,1.0,0.946635
L,wcharm,down,4,0.0,2.5,20.0,30.0,-1.0,1.0,0.9666109999999999
L,wcharm,down,4,0.0,2.5,30.0,40.0,-1.0,1.0,0.906133
L,wcharm,down,4,0.0,2.5,40.0,50.0,-1.0,1.0,0.856384
L,wcharm,down,4,0.0,2.5,50.0,110.0,-1.0,1.0,0.933165
L,wcharm,down,4,0.0,2.5,110.0,210.0,-1.0,1.0,0.878052
L,wcharm,up,4,0.0,2.5,20.0,30.0,-1.0,1.0,1.043173
L,wcharm,up,4,0.0,2.5,30.0,40.0,-1.0,1.0,1.1193089999999999
L,wcharm,up,4,0.0,2.5,40.0,50.0,-1.0,1.0,1.116708
L,wcharm,up,4,0.0,2.5,50.0,110.0,-1.0,1.0,1.025913
L,wcharm,up,4,0.0,2.5,110.0,210.0,-1.0,1.0,1.015218
M,wcharm,central,4,0.0,2.5,20.0,30.0,-1.0,1.0,0.974186
M,wcharm,central,4,0.0,2.5,30.0,40.0,-1.0,1.0,0.80563
M,wcharm,central,4,0.0,2.5,40.0,50.0,-1.0,1.0,0.775725
M,wcharm,central,4,0.0,2.5,50.0,110.0,-1.0,1.0,0.902168
M,wcharm,central,4,0.0,2.5,110.0,210.0,-1.0,1.0,0.7998
M,wcharm,down,4,0.0,2.5,20.0,30.0,-1.0,1.0,0.937848
M,wcharm,down,4,0.0,2.5,30.0,40.0,-1.0,1.0,0.7591779999999999
M,wcharm,down,4,0.0,2.5,40.0,50.0,-1.0,1.0,0.723381
M,wcharm,down,4,0.0,2.5,50.0,110.0,-1.0,1.0,0.8349949999999999
M,wcharm,down,4,0.0,2.5,110.0,210.0,-1.0,1.0,0.661559
M,wcharm,up,4,0.0,2.5,20.0,30.0,-1.0,1.0,1.010524
M,wcharm,up,4,0.0,2.5,30.0,40.0,-1.0,1.0,0.852082
M,wcharm,up,4,0.0,2.5,40.0,50.0,-1.0,1.0,0.8280689999999999
M,wcharm,up,4,0.0,2.5,50.0,110.0,-1.0,1.0,0.969341
M,wcharm,up,4,0.0,2.5,110.0,210.0,-1.0,1.0,0.9380409999999999
T,wcharm,central,4,0.0,2.5,20.0,30.0,-1.0,1.0,0.861774
T,wcharm,central,4,0.0,2.5,30.0,40.0,-1.0,1.0,0.805859
T,wcharm,central,4,0.0,2.5,40.0,50.0,-1.0,1.0,0.775946
T,wcharm,central,4,0.0,2.5,50.0,110.0,-1.0,1.0,0.763757
T,wcharm,central,4,0.0,2.5,110.0,210.0,-1.0,1.0,0.426576
T,wcharm,down,4,0.0,2.5,20.0,30.0,-1.0,1.0,0.820883
T,wcharm,down,4,0.0,2.5,30.0,40.0,-1.0,1.0,0.765652
T,wcharm,down,4,0.0,2.5,40.0,50.0,-1.0,1.0,0.479445
T,wcharm,down,4,0.0,2.5,50.0,110.0,-1.0,1.0,0.417804
T,wcharm,down,4,0.0,2.5,110.0,210.0,-1.0,1.0,0.38801800000000003
T,wcharm,up,4,0.0,2.5,20.0,30.0,-1.0,1.0,0.902665
T,wcharm,up,4,0.0,2.5,30.0,40.0,-1.0,1.0,0.846066
T,wcharm,up,4,0.0,2.5,40.0,50.0,-1.0,1.0,1.072447
T,wcharm,up,4,0.0,2.5,50.0,110.0,-1.0,1.0,1.10971
T,wcharm,up,4,0.0,2.5,110.0,210.0,-1.0,1.0,0.465134
L,TnP,central,5,0.0,2.5,30.0,50.0,0.0,1.0,1.08862120718
L,TnP,down,5,0.0,2.5,30.0,50.0,0.0,1.0,0.999974386731
L,TnP,up,5,0.0,2.5,30.0,50.0,0.0,1.0,1.17726802763
L,TnP,central,5,0.0,2.5,50.0,70.0,0.0,1.0,1.25490432982
L,TnP,down,5,0.0,2.5,50.0,70.0,0.0,1.0,1.17677793373
L,TnP,up,5,0.0,2.5,50.0,70.0,0.0,1.0,1.33303072592
L,TnP,central,5,0.0,2.5,70.0,100.0,0.0,1.0,1.28018154126
L,TnP,down,5,0.0,2.5,70.0,100.0,0.0,1.0,1.21791758411
L,TnP,up,5,0.0,2.5,70.0,100.0,0.0,1.0,1.34244549842
L,TnP,central,5,0.0,2.5,100.0,140.0,0.0,1.0,1.14359409814
L,TnP,down,5,0.0,2.5,100.0,140.0,0.0,1.0,1.09450246889
L,TnP,up,5,0.0,2.5,100.0,140.0,0.0,1.0,1.19268572739
L,TnP,central,5,0.0,2.5,140.0,200.0,0.0,1.0,1.12783201317
L,TnP,down,5,0.0,2.5,140.0,200.0,0.0,1.0,1.06825957857
L,TnP,up,5,0.0,2.5,140.0,200.0,0.0,1.0,1.18740444777
M,TnP,central,5,0.0,2.5,30.0,50.0,0.0,1.0,0.951911465875
M,TnP,down,5,0.0,2.5,30.0,50.0,0.0,1.0,0.888519722176
M,TnP,up,5,0.0,2.5,30.0,50.0,0.0,1.0,1.01530320957
M,TnP,central,5,0.0,2.5,50.0,70.0,0.0,1.0,1.07367086923
M,TnP,down,5,0.0,2.5,50.0,70.0,0.0,1.0,1.01042789448
M,TnP,up,5,0.0,2.5,50.0,70.0,0.0,1.0,1.13691384398
M,TnP,central,5,0.0,2.5,70.0,100.0,0.0,1.0,1.09180877716
M,TnP,down,5,0.0,2.5,70.0,100.0,0.0,1.0,1.04267625295
M,TnP,up,5,0.0,2.5,70.0,100.0,0.0,1.0,1.14094130137
M,TnP,central,5,0.0,2.5,100.0,140.0,0.0,1.0,1.04605841679
M,TnP,down,5,0.0,2.5,100.0,140.0,0.0,1.0,1.00474250924
M,TnP,up,5,0.0,2.5,100.0,140.0,0.0,1.0,1.08737432435
M,TnP,central,5,0.0,2.5,140.0,200.0,0.0,1.0,1.07079914498
M,TnP,down,5,0.0,2.5,140.0,200.0,0.0,1.0,1.02591350745
M,TnP,up,5,0.0,2.5,140.0,200.0,0.0,1.0,1.11568478251
T,TnP,central,5,0.0,2.5,30.0,50.0,0.0,1.0,0.959236565813
T,TnP,down,5,0.0,2.5,30.0,50.0,0.0,1.0,0.919053322649
T,TnP,up,5,0.0,2.5,30.0,50.0,0.0,1.0,0.999419808976
T,TnP,central,5,0.0,2.5,50.0,70.0,0.0,1.0,0.978315605623
T,TnP,down,5,0.0,2.5,50.0,70.0,0.0,1.0,0.942678489704
T,TnP,up,5,0.0,2.5,50.0,70.0,0.0,1.0,1.01395272154
T,TnP,central,5,0.0,2.5,70.0,100.0,0.0,1.0,0.961681910705
T,TnP,down,5,0.0,2.5,70.0,100.0,0.0,1.0,0.932656036143
T,TnP,up,5,0.0,2.5,70.0,100.0,0.0,1.0,0.990707785268
T,TnP,central,5,0.0,2.5,100.0,140.0,0.0,1.0,0.936595258212
T,TnP,down,5,0.0,2.5,100.0,140.0,0.0,1.0,0.910479642386
T,TnP,up,5,0.0,2.5,100.0,140.0,0.0,1.0,0.962710874038
T,TnP,central,5,0.0,2.5,140.0,200.0,0.0,1.0,0.994686007292
T,TnP,down,5,0.0,2.5,140.0,200.0,0.0,1.0,0.962348803747
T,TnP,up,5,0.0,2.5,140.0,200.0,0.0,1.0,1.02702321084
