OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,lt,central,5,0.0,2.5,30,120,0,1,0.97975
L,lt,up,5,0.0,2.5,30,120,0,1,1.03366
L,lt,down,5,0.0,2.5,30,120,0,1,0.92099
L,lt,central,4,0.0,2.5,30,120,0,1,0.97975
L,lt,up,4,0.0,2.5,30,120,0,1,1.08757
L,lt,down,4,0.0,2.5,30,120,0,1,0.86222
L,lt,central,5,0.0,2.5,120,180,0,1,0.95141
L,lt,up,5,0.0,2.5,120,180,0,1,1.03851
L,lt,down,5,0.0,2.5,120,180,0,1,0.86261
L,lt,central,4,0.0,2.5,120,180,0,1,0.95141
L,lt,up,4,0.0,2.5,120,180,0,1,1.12562
L,lt,down,4,0.0,2.5,120,180,0,1,0.77382
L,lt,central,5,0.0,2.5,180,240,0,1,0.99541
L,lt,up,5,0.0,2.5,180,240,0,1,1.05941
L,lt,down,5,0.0,2.5,180,240,0,1,0.9305
L,lt,central,4,0.0,2.5,180,240,0,1,0.99541
L,lt,up,4,0.0,2.5,180,240,0,1,1.1234
L,lt,down,4,0.0,2.5,180,240,0,1,0.86559
L,lt,central,5,0.0,2.5,240,1000,0,1,0.98072
L,lt,up,5,0.0,2.5,240,1000,0,1,1.02783
L,lt,down,5,0.0,2.5,240,1000,0,1,0.91884
L,lt,central,4,0.0,2.5,240,1000,0,1,0.98072
L,lt,up,4,0.0,2.5,240,1000,0,1,1.07493
L,lt,down,4,0.0,2.5,240,1000,0,1,0.85696
M,lt,central,5,0.0,2.5,30,120,0,1,0.95872
M,lt,up,5,0.0,2.5,30,120,0,1,1.04201
M,lt,down,5,0.0,2.5,30,120,0,1,0.87144
M,lt,central,4,0.0,2.5,30,120,0,1,0.95872
M,lt,up,4,0.0,2.5,30,120,0,1,1.12531
M,lt,down,4,0.0,2.5,30,120,0,1,0.78416
M,lt,central,5,0.0,2.5,120,180,0,1,0.89104
M,lt,up,5,0.0,2.5,120,180,0,1,1.01906
M,lt,down,5,0.0,2.5,120,180,0,1,0.75755
M,lt,central,4,0.0,2.5,120,180,0,1,0.89104
M,lt,up,4,0.0,2.5,120,180,0,1,1.14708
M,lt,down,4,0.0,2.5,120,180,0,1,0.62407
M,lt,central,5,0.0,2.5,180,240,0,1,1.02868
M,lt,up,5,0.0,2.5,180,240,0,1,1.08301
M,lt,down,5,0.0,2.5,180,240,0,1,0.96529
M,lt,central,4,0.0,2.5,180,240,0,1,1.02868
M,lt,up,4,0.0,2.5,180,240,0,1,1.13734
M,lt,down,4,0.0,2.5,180,240,0,1,0.9019
M,lt,central,5,0.0,2.5,240,1000,0,1,0.93204
M,lt,up,5,0.0,2.5,240,1000,0,1,1.05529
M,lt,down,5,0.0,2.5,240,1000,0,1,0.80761
M,lt,central,4,0.0,2.5,240,1000,0,1,0.93204
M,lt,up,4,0.0,2.5,240,1000,0,1,1.17854
M,lt,down,4,0.0,2.5,240,1000,0,1,0.68318
L,incl,central,0,0.0,2.5,20,1000,0,1,1.13229-0.000199506*x+7.41326e-07*x*x-5.21686e-10*x*x*x 
L,incl,down,0,0.0,2.5,20,1000,0,1,1.04669-0.000200148*x+8.42438e-07*x*x-6.04708e-10*x*x*x 
L,incl,up,0,0.0,2.5,20,1000,0,1,1.21803-0.000198664*x+6.38854e-07*x*x-4.37965e-10*x*x*x 
M,incl,central,0,0.0,2.5,20,1000,0,1,0.991345+0.000138583*x+2.81386e-08*x*x 
M,incl,down,0,0.0,2.5,20,1000,0,1,0.836145+0.000103764*x+2.18709e-08*x*x 
M,incl,up,0,0.0,2.5,20,1000,0,1,1.14656+0.000173335*x+3.4515e-08*x*x 
T,incl,central,0,0.0,2.5,20,1000,0,1,0.842879+3.14995e-05*x+1.03229e-06*x*x-1.34244e-09*x*x*x 
T,incl,down,0,0.0,2.5,20,1000,0,1,0.634052-9.60067e-05*x+1.09663e-06*x*x-1.34475e-09*x*x*x 
T,incl,up,0,0.0,2.5,20,1000,0,1,1.05549+0.000104498*x+1.17748e-06*x*x-1.571e-09*x*x*x 
